provider,region_name,type,metro,country,latitude,longitude,zones
Huawei Cloud,LA Buenos Aires,Cloud Region,Buenos Aires,Argentina,-34.608521,-58.373539,1
Microsoft Azure,Australia Central (Canberra),Cloud Region,Canberra,Australia,-35.306541,149.126556,1
Microsoft Azure,Australia Central 2 (Canberra),Cloud Region,Canberra,Australia,-35.306541,149.126556,1
Oracle Cloud,Australian Gov (Canberra),Cloud Region,Canberra,Australia,-35.306541,149.126556,1
Amazon Web Services,Asia Pacific (Melbourne),Cloud Region,Melbourne,Australia,-37.817532,144.967148,3
Google Cloud,Melbourne,Cloud Region,Melbourne,Australia,-37.817532,144.967148,3
Microsoft Azure,Australia Southeast (Melbourne),Cloud Region,Melbourne,Australia,-37.817532,144.967148,1
Oracle Cloud,Australia Southeast (Melbourne),Cloud Region,Melbourne,Australia,-37.817532,144.967148,1
Amazon Web Services,Asia Pacific (Sydney),Cloud Region,Sydney,Australia,-33.869696,151.20704,3
Google Cloud,Sydney,Cloud Region,Sydney,Australia,-33.869696,151.20704,3
IBM Cloud,Sydney,Cloud Region,Sydney,Australia,-33.869696,151.20704,3
Microsoft Azure,Australia East (Sydney),Cloud Region,Sydney,Australia,-33.869696,151.20704,3
Oracle Cloud,Australia East (Sydney),Cloud Region,Sydney,Australia,-33.869696,151.20704,1
OVH,Australia (Sydney),Cloud Region,Sydney,Australia,-33.869696,151.20704,1
Microsoft Azure,Austria East (Vienna),Cloud Region,Vienna,Austria,48.202548,16.368805,3
Amazon Web Services,Middle East (Bahrain),Cloud Region,Manama,Bahrain,26.229438,50.575955,3
Microsoft Azure,Belgium Central,Cloud Region,Brussels,Belgium,50.846626886537614,4.3503418787872805,3
Google Cloud,Belgium,Cloud Region,Mons,Belgium,50.447849,3.820250,3
Oracle Cloud,Brazil Southeast (Vinhedo),Cloud Region,Campinas,Brazil,-23.0435155,-47.0255742,1
Microsoft Azure,Brazil Southeast (Rio),Cloud Region,Rio de Janeiro,Brazil,-22.903448,-43.209557,3
Amazon Web Services,South America (SÃ£o Paulo),Cloud Region,SÃ£o Paulo,Brazil,-23.562880,-46.654659,3
Google Cloud,Sao Paulo,Cloud Region,SÃ£o Paulo,Brazil,-23.562880,-46.654659,3
Huawei Cloud,LA-Sao Paulo,Cloud Region,SÃ£o Paulo,Brazil,-23.562880,-46.654659,3
IBM Cloud,SÃ£o Paulo,Cloud Region,SÃ£o Paulo,Brazil,-23.562880,-46.654659,3
Microsoft Azure,Brazil South (SÃ£o Paulo),Cloud Region,SÃ£o Paulo,Brazil,-23.562880,-46.654659,3
Oracle Cloud,Brazil East (Sao Paulo),Cloud Region,SÃ£o Paulo,Brazil,-23.562880,-46.654659,1
Tencent Cloud,South America (Sao Paulo),Cloud Region,SÃ£o Paulo,Brazil,-23.562880,-46.654659,1
Amazon Web Services,Canada (West) ,Cloud Region,Calgary,Canada,51.045220,-114.063014,3
Amazon Web Services,Canada (Central),Cloud Region,MontrÃ©al,Canada,45.5576996,-74.0104842,3
Google Cloud,Montreal,Cloud Region,MontrÃ©al,Canada,45.5576996,-74.0104842,3
IBM Cloud,Montreal,Cloud Region,MontrÃ©al,Canada,45.5576996,-74.0104842,3
Oracle Cloud,Canada Southeast (Montreal),Cloud Region,MontrÃ©al,Canada,45.5576996,-74.0104842,1
OVH,East Coast (Montreal),Cloud Region,MontrÃ©al,Canada,45.5576996,-74.0104842,1
Microsoft Azure,Canada East (Quebec City),Cloud Region,Quebec City,Canada,46.812749,-71.219359,1
Google Cloud,Toronto,Cloud Region,Toronto,Canada,43.648560,-79.385324,3
IBM Cloud,Toronto,Cloud Region,Toronto,Canada,43.648560,-79.385324,3
Microsoft Azure,Canada Central (Toronto),Cloud Region,Toronto,Canada,43.648560,-79.385324,3
Oracle Cloud,Canada Southeast (Toronto),Cloud Region,Toronto,Canada,43.648560,-79.385324,1
OVH,Canada (Toronto),Cloud Region,Toronto,Canada,43.648560,-79.385324,1
Tencent Cloud,North America (Toronto),Cloud Region,Toronto,Canada,43.648560,-79.385324,1
Amazon Web Services,AWS Chile (Santiago),Cloud Region,Santiago,Chile,-33.437269,-70.650564,3
Google Cloud,Santiago,Cloud Region,Santiago,Chile,-33.437269,-70.650564,3
Huawei Cloud,LA-Santiago,Cloud Region,Santiago,Chile,-33.437269,-70.650564,2
Microsoft Azure,Chile Central (Santiago),Cloud Region,Santiago,Chile,-33.437269,-70.650564,3
Oracle Cloud,Chile Central (Santiago),Cloud Region,Santiago,Chile,-33.437269,-70.650564,1
Oracle Cloud,Chile West (VaparaÃ­so),Cloud Region,ValparaÃ­so,Chile,-33.045521,-71.620311,1
Alibaba Cloud,China North 2 (Beijing),Cloud Region,Beijing,China,39.906010,116.387909,12
Amazon Web Services,Mainland China (Beijing),Cloud Region,Beijing,China,39.906010,116.387909,3
Huawei Cloud,CN North Beijing1,Cloud Region,Beijing,China,39.906010,116.387909,3
Huawei Cloud,CN North Beijing2,Cloud Region,Beijing,China,39.906010,116.387909,2
Huawei Cloud,CN North Beijing3,Cloud Region,Beijing,China,39.906010,116.387909,2
Microsoft Azure,China North (Beijing),Cloud Region,Beijing,China,39.906010,116.387909,1
Microsoft Azure,China North 2 (Beijing),Cloud Region,Beijing,China,39.906010,116.387909,1
Microsoft Azure,China North 3 (Beijing),Cloud Region,Beijing,China,39.906010,116.387909,3
Tencent Cloud,North China (Beijing),Cloud Region,Beijing,China,39.906010,116.387909,10
Alibaba Cloud,China North 2 (Beijing),Cloud Region,Beijing,China,39.509720000000002,116.69472,12
Amazon Web Services,Mainland China (Beijing),Cloud Region,Beijing,China,39.509720000000002,116.69472,3
Huawei Cloud,CN North Beijing1,Cloud Region,Beijing,China,39.509720000000002,116.69472,3
Huawei Cloud,CN North Beijing2,Cloud Region,Beijing,China,39.509720000000002,116.69472,2
Huawei Cloud,CN North Beijing3,Cloud Region,Beijing,China,39.509720000000002,116.69472,2
Microsoft Azure,China North (Beijing),Cloud Region,Beijing,China,39.509720000000002,116.69472,1
Microsoft Azure,China North 2 (Beijing),Cloud Region,Beijing,China,39.509720000000002,116.69472,1
Microsoft Azure,China North 3 (Beijing),Cloud Region,Beijing,China,39.509720000000002,116.69472,3
Tencent Cloud,North China (Beijing),Cloud Region,Beijing,China,39.509720000000002,116.69472,10
Alibaba Cloud,China West 1 (Chengdu),Cloud Region,Chengdu,China,30.670000,104.071022,2
Tencent Cloud,Southwest China (Chengdu),Cloud Region,Chengdu,China,30.670000,104.071022,2
Tencent Cloud,Southwest China (Chongqing),Cloud Region,Chongqing,China,29.544001,106.522621,1
Alibaba Cloud,China (Fuzhou - Local Region),Cloud Region,Fuzhou,China,26.059285050938268,119.3073868980544,1
Alibaba Cloud,China South 3 (Guangzhou),Cloud Region,Guangzhou,China,23.107389,113.267616,2
Huawei Cloud,CN South Guangzhou,Cloud Region,Guangzhou,China,23.107389,113.267616,6
Tencent Cloud,South China (Guangzhou),Cloud Region,Guangzhou,China,23.107389,113.267616,5
Huawei Cloud,CN Southwest Guiyang,Cloud Region,Guiyang,China,26.58333,106.71667,3
Alibaba Cloud,China East 1 (Hangzhou),Cloud Region,Hangzhou,China,30.252501,120.165024,8
Alibaba Cloud,China South 2 (Heyuan),Cloud Region,Heyuan,China,23.730419,114.680023,2
